,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Engobe,cluster
117,1,3,0,1,0,10,5,2,2,1,0,0,0,0,0,0,1
118,1,2,4,0,0,7,3,2,2,1,1,0,0,0,0,0,2
119,1,2,4,0,0,6,3,2,2,1,0,0,0,0,0,0,2
120,1,2,4,0,0,8,3,3,3,1,0,0,0,0,0,0,2
121,1,2,4,0,0,8,4,1,3,1,0,0,0,0,0,0,2
122,1,1,4,0,0,6,3,3,3,1,0,0,0,0,0,0,2
123,0,1,6,1,0,6,3,1,1,0,0,0,0,0,0,0,1
124,0,2,6,1,0,6,3,2,2,1,0,0,0,0,0,0,1
125,0,2,2,0,0,7,3,2,2,1,0,0,0,0,0,0,2
126,1,1,0,0,0,8,3,1,2,1,0,0,0,0,0,0,2
127,0,0,5,0,0,7,2,2,2,1,0,0,0,0,0,0,2
128,0,2,0,0,0,6,2,1,1,0,0,0,0,0,0,0,2
129,1,0,0,0,0,7,4,3,3,1,0,0,0,0,0,0,2
130,1,0,4,0,0,5,3,3,3,1,0,0,0,0,0,0,2
131,0,2,0,0,0,10,3,2,2,1,0,2,1,1,0,0,2
132,0,2,6,0,0,6,3,2,2,1,0,0,0,0,0,0,2
133,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
134,1,1,3,0,0,8,3,2,2,1,0,0,0,0,0,0,2
135,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
136,1,1,3,0,0,8,4,2,2,1,0,0,0,0,0,0,2
137,1,1,3,0,0,8,3,2,2,1,0,0,0,0,0,0,2
138,1,1,3,0,0,11,3,2,2,1,0,0,0,0,0,0,2
139,1,1,3,0,0,8,3,2,2,1,0,0,0,0,0,0,2
140,1,1,3,0,0,9,4,2,2,1,0,0,0,0,0,0,2
141,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
142,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
143,1,1,3,0,0,8,3,2,2,1,0,0,0,0,0,0,2
144,1,1,3,0,0,10,4,2,2,1,0,0,0,0,0,0,2
145,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
146,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
147,1,1,3,0,0,9,3,2,2,1,2,0,0,0,0,0,2
148,1,1,3,0,0,9,3,2,2,1,2,0,0,0,0,0,2
149,1,1,3,0,0,9,3,2,2,1,2,0,0,0,0,0,2
150,1,1,3,0,0,9,2,2,2,1,2,0,0,0,0,0,2
151,1,1,3,0,0,9,3,2,2,1,2,0,0,0,0,0,2
152,1,1,3,0,0,7,2,2,2,1,1,0,0,0,0,0,2
153,1,1,3,0,0,8,3,2,2,1,2,0,0,0,0,0,2
154,1,1,3,0,0,11,3,2,2,1,0,0,0,0,0,0,2
155,1,1,3,0,0,10,3,2,2,1,0,0,0,0,0,0,2
156,1,1,3,0,0,9,4,2,2,1,0,0,0,0,0,0,2
157,1,1,0,1,0,11,3,1,1,0,0,0,0,0,0,0,1
158,0,1,4,1,0,8,3,1,2,1,0,0,0,0,0,0,1
159,0,1,4,0,0,12,3,2,2,1,0,0,0,0,0,0,2
160,0,1,4,0,0,8,3,2,2,1,0,0,0,0,0,0,2
161,1,1,4,0,0,11,4,2,2,1,0,0,0,0,0,0,2
162,1,2,4,0,0,10,4,2,2,1,0,0,0,0,0,0,2
163,0,2,2,0,0,14,2,2,2,0,0,0,0,0,0,0,2
164,1,2,5,0,0,7,3,2,2,2,1,0,0,0,0,0,2
165,1,0,2,0,0,5,5,3,3,2,0,0,0,0,0,0,2
166,1,2,0,1,0,11,4,3,2,2,0,0,0,0,0,0,1
167,1,2,3,1,0,11,3,3,3,2,0,0,0,0,0,0,1
168,1,2,0,0,0,8,3,1,1,0,0,0,0,0,0,0,2
169,0,2,0,0,0,6,3,2,2,1,1,0,0,0,0,0,2
170,0,1,3,0,0,11,4,2,2,1,0,0,0,0,0,0,2
171,0,1,3,0,0,10,2,2,2,1,0,0,0,0,0,0,2
172,1,1,3,0,0,7,3,2,2,1,0,0,0,0,0,0,2
