,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Engobe,Cluster
137,1,1,3,0,0,8,3,2,2,1,0,0,0,0,0,0,2
138,1,1,3,0,0,11,3,2,2,1,0,0,0,0,0,0,3
139,1,1,3,0,0,8,3,2,2,1,0,0,0,0,0,0,2
140,1,1,3,0,0,9,4,2,2,1,0,0,0,0,0,0,2
141,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
142,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
143,1,1,3,0,0,8,3,2,2,1,0,0,0,0,0,0,2
144,1,1,3,0,0,10,4,2,2,1,0,0,0,0,0,0,3
145,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
146,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
147,1,1,3,0,0,9,3,2,2,1,2,0,0,0,0,0,2
148,1,1,3,0,0,9,3,2,2,1,2,0,0,0,0,0,2
149,1,1,3,0,0,9,3,2,2,1,2,0,0,0,0,0,2
150,1,1,3,0,0,9,2,2,2,1,2,0,0,0,0,0,2
151,1,1,3,0,0,9,3,2,2,1,2,0,0,0,0,0,2
152,1,1,3,0,0,7,2,2,2,1,1,0,0,0,0,0,2
153,1,1,3,0,0,8,3,2,2,1,2,0,0,0,0,0,2
154,1,1,3,0,0,11,3,2,2,1,0,0,0,0,0,0,3
155,1,1,3,0,0,10,3,2,2,1,0,0,0,0,0,0,3
156,1,1,3,0,0,9,4,2,2,1,0,0,0,0,0,0,2
157,1,1,0,1,0,11,3,1,1,0,0,0,0,0,0,0,3
158,0,1,4,1,0,8,3,1,2,1,0,0,0,0,0,0,1
159,0,1,4,0,0,12,3,2,2,1,0,0,0,0,0,0,3
160,0,1,4,0,0,8,3,2,2,1,0,0,0,0,0,0,1
161,1,1,4,0,0,11,4,2,2,1,0,0,0,0,0,0,3
162,1,2,4,0,0,10,4,2,2,1,0,0,0,0,0,0,3
163,0,2,2,0,0,14,2,2,2,0,0,0,0,0,0,0,3
164,1,2,5,0,0,7,3,2,2,2,1,0,0,0,0,0,1
165,1,0,2,0,0,5,5,3,3,2,0,0,0,0,0,0,2
166,1,2,0,1,0,11,4,3,2,2,0,0,0,0,0,0,3
167,1,2,3,1,0,11,3,3,3,2,0,0,0,0,0,0,3
168,1,2,0,0,0,8,3,1,1,0,0,0,0,0,0,0,2
169,0,2,0,0,0,6,3,2,2,1,1,0,0,0,0,0,2
170,0,1,3,0,0,11,4,2,2,1,0,0,0,0,0,0,3
171,0,1,3,0,0,10,2,2,2,1,0,0,0,0,0,0,3
172,1,1,3,0,0,7,3,2,2,1,0,0,0,0,0,0,2
173,0,2,3,0,0,8,3,2,2,1,0,0,0,0,0,0,2
174,0,2,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
175,1,2,4,0,0,9,3,1,2,0,0,0,0,0,0,0,1
176,0,2,4,0,0,11,2,1,1,0,0,0,0,0,0,0,3
177,0,1,4,0,0,14,3,1,1,0,0,0,0,0,0,0,3
178,0,1,4,0,0,7,2,1,1,0,0,0,0,0,0,0,1
179,0,2,6,0,0,8,2,1,1,0,0,0,0,0,0,0,1
180,0,3,6,1,0,10,5,1,1,1,2,0,0,0,0,0,3
181,0,3,0,1,0,9,4,2,1,0,0,0,0,0,0,0,2
182,0,3,0,1,0,7,3,1,1,0,0,0,0,0,0,0,2
183,0,3,0,1,0,7,4,1,1,0,0,0,0,0,0,0,2
184,0,3,0,1,0,10,3,1,2,0,0,0,0,0,0,0,2
